,RH,SR,Temperature,WBGT,Wind
1950,24.376806,2861982.0,33.225677,23.208403,2.8436005
1951,25.061829,3144444.0,33.348236,23.431713,2.1321933
1952,22.89707,3173050.0,35.09091,24.394722,1.4788806
1953,22.958862,2957589.0,35.518463,24.700304,1.0644336
1954,23.540552,2501131.0,34.546173,24.043015,0.79893404
1955,22.427605,1850043.0,34.966705,24.275139,0.30760232
1956,22.02793,1045793.2,34.943756,23.92398,1.5019351
1957,27.440866,304742.88,33.81729,24.375345,3.4666908
1958,47.11276,3225.9775,28.57779,22.111444,4.8051033
1959,51.8282,3.5999988e-12,26.872467,21.075033,4.4119506
1960,50.529438,3.5999988e-12,26.795074,20.881105,3.5293741
1961,55.044983,3.5999988e-12,24.444489,19.255371,2.8047423
1962,54.178345,3.5999988e-12,24.4003,19.153023,2.6431248
1963,54.371464,3.5999988e-12,24.190826,18.98773,2.5906377
1964,59.5372,3.5999988e-12,22.157745,17.594238,2.6342077
1965,56.115692,3.5999988e-12,22.438995,17.596355,2.528356
1966,51.696133,3.5999988e-12,22.089752,16.999702,2.1391213
1967,53.29249,3.5999988e-12,21.813751,16.921755,1.5429475
1968,50.5936,3.5999988e-12,22.421051,17.229406,1.7452494
1969,50.743,3.5999988e-12,22.437897,17.336884,0.9806199
1970,46.568806,146333.25,24.493073,18.839733,1.317144
1971,40.297462,718062.8,25.259674,19.477,1.0573906
1972,37.316795,1378394.0,26.719757,19.755865,1.0415579
1973,25.950533,2030895.0,31.50357,22.068714,1.113711
1974,25.30975,2663801.0,32.87613,23.065773,1.2907097
1975,25.806007,2462383.0,33.175323,23.342457,1.637178
1976,24.222631,2741639.0,34.550323,24.159698,2.1887064
1977,24.27895,2816759.0,35.085236,24.577929,2.4292345
1978,28.387117,2518095.0,33.507965,23.989212,2.8278952
1979,28.412516,1864837.0,33.606598,24.00125,2.8813877
1980,28.96526,996904.0,33.499542,23.911917,3.4993284
1981,31.80248,306597.88,33.060455,24.36024,3.9550633
1982,49.82231,3596.9663,28.82486,22.62177,4.3752427
1983,56.596733,3.5999988e-12,27.641998,22.245075,4.036211
1984,58.799786,3.5999988e-12,27.223785,22.076109,3.4646888
1985,66.521225,3.5999988e-12,24.740875,20.482405,2.9653902
1986,67.905655,3.5999988e-12,24.73941,20.614845,2.5289207
1987,67.99179,3.5999988e-12,24.468414,20.368904,2.4285085
1988,70.59843,3.5999988e-12,22.345367,18.569323,2.575564
1989,66.85302,3.5999988e-12,22.461578,18.398302,2.689181
1990,63.25376,3.5999988e-12,21.599396,17.380331,2.2387521
1991,63.240242,3.5999988e-12,21.222443,17.1013,1.2904172
1992,62.654133,3.5999988e-12,21.40799,17.222366,1.352451
1993,64.943504,3.5999988e-12,21.30069,17.23661,2.0804987
1994,56.42153,193162.75,24.354156,19.524965,1.6231766
1995,48.417835,875542.75,25.9534,20.854576,1.325628
1996,43.540035,1661365.0,26.732452,20.477997,2.3805225
1997,30.022255,2333210.0,31.383392,22.569527,3.2321618
1998,27.39262,2842653.0,32.447052,23.064705,3.3980114
1999,28.436895,3118572.0,32.522003,23.301289,2.839375
2000,24.43488,3022962.0,34.160614,23.930702,2.2564356
2001,23.206429,2411281.0,34.81424,24.160017,2.0948346
2002,25.127777,2002637.0,33.7424,23.618198,1.9148003
2003,24.789682,1335425.0,33.986115,23.679577,2.0520194
2004,24.337736,966368.75,34.232086,23.755049,2.0205975
2005,32.12782,282370.2,32.844025,24.385914,1.9477868
2006,34.84984,3763.4978,28.972809,21.26825,2.1009848
2007,38.182934,3.5999988e-12,28.175446,20.91585,2.5161614
2008,45.053482,3.5999988e-12,27.615875,21.111734,2.853152
2009,56.106846,3.5999988e-12,25.35025,20.17143,2.4642744
2010,58.10519,3.5999988e-12,24.953033,20.01235,2.0177097
2011,58.229984,3.5999988e-12,24.94107,19.991014,2.361617
2012,63.042927,3.5999988e-12,22.663116,18.310026,2.4444878
2013,60.808826,3.5999988e-12,22.876007,18.345934,2.2152498
2014,61.323883,3.5999988e-12,21.801178,17.433104,2.0842102
2015,62.684395,3.5999988e-12,21.410187,17.175184,2.1894624
2016,61.272102,3.5999988e-12,22.473175,18.017439,2.26778
2017,53.88209,3.5999988e-12,23.782257,18.61949,2.1165347
2018,50.078224,198884.5,25.729156,20.183968,1.8891306
2019,44.707417,895448.25,28.003754,22.212435,2.1376688
2020,40.88249,1678413.0,28.376648,21.511436,2.1885715
2021,32.998325,2367952.0,32.293457,23.701231,1.7917485
2022,29.035511,2876409.0,33.40677,24.046103,2.0316973
2023,27.69429,3147771.0,33.58017,24.005268,2.1543932
2024,26.338688,3178467.0,35.03769,24.913696,2.2211456
2025,25.277153,2957718.0,35.578033,25.129642,2.2987218
2026,26.497686,2503559.0,34.832916,24.712156,2.4173756
2027,25.643269,1858066.0,35.024567,24.653612,2.5954897
2028,25.080734,1092166.4,35.232086,24.640127,2.849682
2029,28.749577,344592.94,33.69461,24.659908,2.1368797
2030,30.38609,4032.2751,31.349518,22.7105,1.9706818
2031,37.559475,3.5999988e-12,28.230988,21.08466,1.0739092
2032,34.24002,3.5999988e-12,29.293121,21.602064,1.164964
2033,48.03187,3.5999988e-12,24.924957,19.257076,0.9671793
2034,50.465405,3.5999988e-12,24.718292,19.229305,1.3152167
2035,53.454494,3.5999988e-12,24.374908,19.147396,1.5637813
2036,59.461464,3.5999988e-12,23.039825,18.433289,1.5630975
2037,56.10872,3.5999988e-12,23.663849,18.729092,1.5955616
2038,60.658646,3.5999988e-12,21.609772,17.213587,2.1628714
2039,59.242428,3.5999988e-12,21.480377,16.994293,2.3218277
2040,51.43123,3.5999988e-12,22.693512,17.484728,2.260406
2041,46.94132,3.5999988e-12,23.11905,17.489475,2.5017235
2042,40.290657,205975.62,26.586578,19.894672,3.0520058
2043,39.248177,894450.5,28.18045,21.685783,3.1501162
2044,39.95592,1698701.0,29.038116,21.938606,4.175599
2045,31.3732,2376526.0,32.73532,23.816425,4.73935
2046,29.212717,2888964.0,34.24405,24.72662,4.2327404
2047,28.391186,3163558.0,34.274628,24.650414,3.4218764
2048,24.529026,3179728.0,35.21225,24.75211,3.063498
2049,23.03012,2925603.0,35.738495,24.872904,2.7966964
2050,26.187437,2178428.0,34.85904,24.648472,2.5976734
2051,25.402021,1695995.0,35.137238,24.683317,2.2582264
2052,25.012186,1070706.5,35.46927,24.806688,1.3706859
2053,29.232704,323639.75,34.394196,25.385706,1.4903929
2054,44.715775,4045.0251,29.266998,22.457802,3.002517
2055,60.647423,3.5999988e-12,27.21524,22.250227,3.6913953
2056,69.29808,3.5999988e-12,26.59439,22.517609,2.9130106
2057,75.572174,3.5999988e-12,24.430939,20.961565,2.3713994
2058,76.872795,3.5999988e-12,24.325836,20.977177,2.0152962
2059,79.85667,3.5999988e-12,24.286041,21.181322,1.9923534
2060,79.62811,3.5999988e-12,22.60196,19.494314,2.0185368
2061,77.81338,3.5999988e-12,22.56253,19.327894,1.8765813
2062,80.507324,3.5999988e-12,21.877838,18.89604,0.98105764
2063,78.34283,3.5999988e-12,21.940704,18.804428,1.0462424
2064,73.31005,3.5999988e-12,23.074127,19.589756,0.5427549
2065,68.59094,3.5999988e-12,23.556854,19.72778,0.4275316
2066,63.084064,216101.44,25.710175,21.484068,0.52812773
2067,48.436367,923914.56,27.352081,22.149677,1.1274384
2068,43.28024,1696513.0,28.200958,21.653538,1.9755043
2069,31.567806,2378704.0,32.708893,23.824257,1.87864
2070,28.906557,2881104.0,33.25302,23.908175,1.5426153
2071,28.82545,3152865.0,33.207733,23.88932,1.6310842
2072,26.909977,3183859.0,34.52011,24.608738,1.9104313
2073,24.659357,2978149.0,35.102264,24.669367,2.057477
2074,26.992693,2413364.0,34.350067,24.41115,2.244992
2075,26.2106,1842572.0,34.604034,24.422455,2.476787
2076,25.32415,1061087.5,34.81607,24.360826,2.5122683
2077,32.243813,331431.3,33.605255,25.100939,1.775324
2078,30.756483,4224.204,30.423004,22.317509,0.5988778
2079,37.634724,3.5999988e-12,29.065582,21.768799,1.1766499
2080,45.592613,3.5999988e-12,27.052765,20.751905,1.9287643
2081,52.8096,3.5999988e-12,25.351837,19.905495,2.1560638
2082,58.45626,3.5999988e-12,24.708893,19.83126,1.8652551
2083,59.678955,3.5999988e-12,24.830109,20.001894,2.575208
2084,63.855682,3.5999988e-12,22.93924,18.618673,2.498529
2085,62.437485,3.5999988e-12,23.106232,18.670422,2.3288736
2086,66.95184,3.5999988e-12,21.828278,17.845596,2.216288
2087,67.467255,3.5999988e-12,21.409576,17.496817,2.3064609
2088,67.40563,3.5999988e-12,21.694122,17.743202,2.512068
2089,62.86354,3.5999988e-12,22.646393,18.279884,2.4830892
2090,52.921234,220682.38,26.304474,20.966093,1.88628
2091,47.8969,929725.4,27.669647,22.336763,1.4599304
2092,43.373947,1712154.0,28.00705,21.506506,1.3525635
2093,31.611942,2397085.0,33.038055,24.092384,1.6099787
2094,26.404158,2903160.0,34.358124,24.375738,2.474543
2095,24.435144,3187013.0,34.55545,24.243582,2.7258925
2096,21.383377,3216045.0,36.065277,24.867971,2.4325705
2097,20.032715,3000929.0,36.48764,24.923449,2.2103105
2098,20.969849,2535602.0,35.37332,24.221079,2.3268757
2099,20.171618,1877486.0,35.53604,24.139088,2.4467387
2100,20.447405,1107575.0,35.671173,24.202913,2.3191023
2101,27.88007,354474.38,33.68936,24.55105,2.0974238
2102,25.91199,4505.8623,32.592926,23.330393,1.0557694
2103,31.614584,3.5999988e-12,29.322174,21.290228,1.4645267
2104,37.492214,3.5999988e-12,27.840973,20.613255,2.0560262
2105,49.59681,3.5999988e-12,25.38858,19.658075,2.1596165
2106,54.3135,3.5999988e-12,25.06546,19.784552,2.1113799
2107,57.07125,3.5999988e-12,24.709015,19.676956,2.4863691
2108,62.07034,3.5999988e-12,22.768463,18.339716,2.2937994
2109,60.287327,3.5999988e-12,23.2919,18.684399,2.1196694
2110,62.91886,3.5999988e-12,22.458405,18.13484,2.0678527
2111,63.066143,3.5999988e-12,22.39798,18.071941,2.4642458
2112,58.10678,3.5999988e-12,23.694977,18.877022,2.0951166
2113,53.725964,3.5999988e-12,24.873932,19.65072,1.1809697
2114,54.808434,228362.69,26.111603,21.000452,1.5455204
2115,46.707962,939326.44,27.806122,22.306494,1.8295015
2116,41.82057,1721408.0,28.449188,21.686756,2.4979718
2117,29.887215,2400054.0,33.27115,24.018946,3.2963097
2118,27.353075,2898860.0,34.64035,24.741993,3.5838492
2119,27.206644,3181460.0,34.764496,24.843773,3.0833645
2120,25.477585,3204219.0,35.857513,25.402224,2.4479373
2121,24.396425,3023556.0,36.328766,25.559193,2.1102848
2122,22.85119,2512225.0,35.94095,24.950958,1.6423867
2123,24.393486,1625543.0,35.96402,25.136436,1.2433429
2124,26.157728,1053714.0,35.69449,25.176426,0.89502496
2125,32.83451,322767.88,34.56656,25.951368,1.9954864
2126,53.501194,4352.2754,29.87442,23.992231,3.6948237
2127,68.60832,3.5999988e-12,28.078033,23.89183,3.97128
2128,73.377975,3.5999988e-12,27.514557,23.808931,3.377875
2129,82.29907,3.5999988e-12,25.731598,22.82552,3.0295463
2130,83.667206,3.5999988e-12,25.516998,22.745943,2.6331038
2131,83.255806,3.5999988e-12,25.523834,22.719343,2.5148525
2132,86.87609,3.5999988e-12,23.24112,20.668913,2.3570004
2133,82.16478,3.5999988e-12,23.456818,20.526262,2.2206304
2134,85.80847,3.5999988e-12,21.841705,19.193193,1.8089031
2135,82.04255,3.5999988e-12,21.667145,18.75352,2.0247524
2136,74.72331,3.5999988e-12,22.428864,18.973785,1.8937426
2137,73.13059,3.5999988e-12,22.568024,19.000374,1.6733813
2138,65.1423,218153.31,25.375275,21.20921,1.6712586
2139,52.473515,896321.0,27.36441,22.491802,1.3570415
2140,42.298145,1675459.0,27.767853,21.18195,1.1525477
2141,34.24752,2387259.0,32.027435,23.668808,1.3003635
2142,31.276325,2858477.0,33.327057,24.31873,1.4237382
2143,30.31113,3026655.0,33.681183,24.469284,1.3379284
2144,27.666872,2506301.0,35.378204,25.32379,1.2841142
2145,27.67158,2505708.0,35.69229,25.569344,1.9806098
2146,35.182705,1674886.0,33.192535,24.672016,3.8540466
2147,43.58084,1461917.0,32.067047,24.926128,4.7733135
2148,49.072365,966253.06,31.633698,25.899538,4.3201423
2149,52.980145,283190.7,31.634918,25.820705,3.7794366
2150,64.63438,3558.679,28.179108,23.582699,4.046141
2151,69.298935,3.5999988e-12,27.227448,23.114971,4.0972667
2152,71.97406,3.5999988e-12,26.894196,23.04436,4.0085754
2153,82.12638,3.5999988e-12,24.891632,21.944187,3.6361005
2154,83.28556,3.5999988e-12,24.545685,21.68891,3.2386622
2155,83.54982,3.5999988e-12,24.388824,21.570066,2.683447
2156,86.214516,3.5999988e-12,22.64859,20.025764,1.992628
2157,83.47663,3.5999988e-12,22.808746,19.991966,1.7201567
2158,82.88413,3.5999988e-12,22.237091,19.382263,1.6883228
2159,75.264206,3.5999988e-12,22.301788,18.892859,1.8637217
2160,70.26856,3.5999988e-12,22.667389,18.864185,2.105223
2161,67.03051,3.5999988e-12,22.801788,18.741524,2.2665856
2162,55.991066,209459.19,25.676056,20.633955,2.3800972
2163,52.596237,785664.8,26.236542,21.32103,2.211539
2164,44.726696,1474496.0,27.610748,21.311401,2.5651083
2165,33.886986,2123965.0,31.843231,23.443563,2.844142
2166,30.09699,2634780.0,32.963043,23.834246,2.9751754
2167,29.62569,3121214.0,33.378326,24.138294,2.63686
2168,25.813887,3162264.0,35.2576,24.99485,2.3940904
2169,26.496399,2558411.0,35.60428,25.310795,2.2763264
2170,31.194675,1939258.0,33.961212,24.712997,2.8016376
2171,33.926983,1517683.0,33.272858,24.533234,3.6208
2172,38.08625,974219.4,32.904938,24.792242,4.3779273
2173,42.09677,303756.75,32.088287,24.877424,4.6453624
